# "C-13 APPENDIX - SINGLE YEAR AGE RETURNS BY RESIDENCE, SEX  AND LITERACY STATUS"
Table.Name,State.code,Dist.Code,Area.Name,Literate.Illiterate,Age,Persons.All,Males.All,Females.All,Persons.Rural,Males.Rural,Females.Rural,Persons.Urban,Males.Urban,Females.Urban
C3813A,00,00,India,Illiterate,21,2796086,1006420,1789666,2228288,760151,1468137,567798,246269,321529
C3813A,00,00,India,Illiterate,22,4076990,1476989,2600001,3286512,1138360,2148152,790478,338629,451849
C3813A,00,00,India,Illiterate,23,3244083,1013158,2230925,2649315,776597,1872718,594768,236561,358207
C3813A,00,00,India,Illiterate,24,3589173,1168556,2420617,2900523,898100,2002423,688650,270456,418194
C3813A,00,00,India,Illiterate,25,6610169,2443416,4166753,5343410,1955933,3387477,1266759,487483,779276
C3813A,00,00,India,Illiterate,26,4074116,1410670,2663446,3307194,1109668,2197526,766922,301002,465920
C3813A,00,00,India,Illiterate,27,3231794,1058582,2173212,2618528,824424,1794104,613266,234158,379108
C3813A,00,00,India,Illiterate,28,5517430,1621347,3896083,4589193,1295497,3293696,928237,325850,602387
C3813A,00,00,India,Illiterate,29,3200931,1028324,2172607,2582824,802261,1780563,618107,226063,392044
C3813A,00,00,India,Illiterate,30,9249292,3417152,5832140,7514067,2767205,4746862,1735225,649947,1085278
C3813A,00,00,India,Illiterate,31,3175762,1086784,2088978,2569841,862111,1707730,605921,224673,381248
C3813A,00,00,India,Illiterate,32,4805864,1497762,3308102,3983852,1210829,2773023,822012,286933,535079
C3813A,00,00,India,Illiterate,33,3349166,884285,2464881,2812349,713522,2098827,536817,170763,366054
C3813A,00,00,India,Illiterate,34,3749476,1144767,2604709,3062911,911305,2151606,686565,233462,453103
C3813A,00,00,India,Illiterate,35,10034528,3878450,6156078,8037551,3133141,4904410,1996977,745309,1251668
C3813A,00,00,India,Illiterate,36,4787348,1633397,3153951,3902749,1325051,2577698,884599,308346,576253
C3813A,00,00,India,Illiterate,37,3290891,983258,2307633,2696072,793378,1902694,594819,189880,404939
C3813A,00,00,India,Illiterate,38,6077531,1645027,4432504,5087174,1352994,3734180,990357,292033,698324
C3813A,00,00,India,Illiterate,39,3672829,1198836,2473993,2956464,954338,2002126,716365,244498,471867
C3813A,00,00,India,Illiterate,40,11924637,4736961,7187676,9606419,3863156,5743263,2318218,873805,1444413
C3813A,00,00,India,Illiterate,41,3745742,1397139,2348603,3011866,1127575,1884291,733876,269564,464312
C3813A,00,00,India,Illiterate,42,4654335,1554522,3099813,3850282,1280931,2569351,804053,273591,530462
C3813A,00,00,India,Illiterate,43,3145755,864103,2281652,2627814,708010,1919804,517941,156093,361848
C3813A,00,00,India,Illiterate,44,3336403,1102307,2234096,2693205,888595,1804610,643198,213712,429486
C3813A,00,00,India,Illiterate,45,10723743,4272109,6451634,8573066,3488728,5084338,2150677,783381,1367296
C3813A,00,00,India,Illiterate,46,4054887,1472773,2582114,3279181,1203734,2075447,775706,269039,506667
C3813A,00,00,India,Illiterate,47,2662059,848965,1813094,2178835,693632,1485203,483224,155333,327891
C3813A,00,00,India,Illiterate,48,4728920,1393636,3335284,3951783,1156211,2795572,777137,237425,539712
C3813A,00,00,India,Illiterate,49,2908154,1028033,1880121,2328198,828661,1499537,579956,199372,380584
C3813A,00,00,India,Illiterate,50,10648909,4344080,6304829,8600949,3603439,4997510,2047960,740641,1307319
C3813A,00,00,India,Illiterate,51,3008191,1185259,1822932,2414187,970295,1443892,594004,214964,379040
C3813A,00,00,India,Illiterate,52,2879975,984020,1895955,2387276,821053,1566223,492699,162967,329732
C3813A,00,00,India,Illiterate,53,1942046,547716,1394330,1616604,448834,1167770,325442,98882,226560
C3813A,00,00,India,Illiterate,54,2343087,739938,1603149,1888814,601512,1287302,454273,138426,315847
C3813A,00,00,India,Illiterate,55,7916913,2799836,5117077,6417338,2334305,4083033,1499575,465531,1034044
C3813A,00,00,India,Illiterate,56,2867942,967050,1900892,2333209,800660,1532549,534733,166390,368343
C3813A,00,00,India,Illiterate,57,1660403,473256,1187147,1373896,389153,984743,286507,84103,202404
